no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
797,CP051,Oncom,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP051#AndraFarm,Olahan,CP051,-,Kacang,Oncom,1.4,57.0,27.0,,187.0,115.0,,96.0,22.6,,6.0,,1.6,13.0,,,,,,0.09,,,,
798,CP052,Oncom ampas kacang hijau,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP052#AndraFarm,Olahan,CP052,-,Kacang,Green bean pulp oncom,1.7,13.4,10.9,,376.0,110.0,,199.0,65.7,,6.0,,,14.9,,,,12.3,,0.03,,,,
799,CP053,Oncom kacang hijau + singkong,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP053#AndraFarm,Olahan,CP053,-,Kacang,Green beans oncom + cassava,1.3,16.5,7.8,,351.0,113.0,,164.0,65.9,,5.3,,,11.0,,,,9.0,,0.01,,,,
800,CP054,Oncom kacang tanah pepes,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP054#AndraFarm,Olahan,CP054,-,Kacang,Peanuts Oncom pepes,4.8,65.0,34.4,,132.0,355.0,,133.0,13.7,10.0,3.8,,0.7,12.7,,0.2,,3.1,,0.08,,,,
801,AP094,Onde-onde,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP094#AndraFarm,Olahan,AP094,-,Serealia,Boiled rice cake,0.6,27.7,,,336.0,,,,57.9,,9.8,,,4.0,,,,,,,,,,
802,BP052,Ongol-ongol sagu,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP052#AndraFarm,Olahan,BP052,-,Umbi,Sago ongols,0.5,75.3,1.7,,111.0,15.0,,79.0,21.2,,2.7,,,0.3,,,,0.3,,0.06,,,,
803,FP058,"Oramu ninahu ndawa olaho, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP058#AndraFarm,Olahan,FP058,-,Daging,"Oramu ninahu ndawa ifo, cooking",0.1,74.9,2.0,,117.0,804.0,727.0,964.0,4.3,,5.0,,1.7,13.7,4095.0,0.04,1.5,,0.3,0.77,,,,
804,BP053,Oyek,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP053#AndraFarm,Olahan,BP053,-,Umbi,Oyek,0.7,12.6,2.1,,351.0,36.0,229.0,60.0,84.9,,0.9,5.0,0.5,0.9,,0.02,0.5,4.3,0.1,0.02,0.0,,,
805,AP095,Padamaran,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP095#AndraFarm,Olahan,AP095,-,Serealia,Padamaran,0.8,67.6,,,171.0,,,,18.8,,8.9,,,3.9,,,,,,,,,,
806,DP043,Paku hinela wulelenggapaya,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP043#AndraFarm,Olahan,DP043,-,Sayur,Paku hinela wulelenggapaya,3.1,83.4,,55.0,77.0,85.0,37.0,63.0,5.4,,4.6,469.0,0.2,3.5,,0.1,0.7,3.6,0.3,0.8,4.0,,,
807,NR024,"Pala, biji, kering",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR024#AndraFarm,Tunggal,NR024,-,Bumbu,"Nutmeg, seeds, dried",1.7,14.3,4.6,7.0,518.0,240.0,78.7,120.0,40.1,,36.4,2.0,0.5,7.5,,0.02,2.0,3.5,0.94,0.2,,Myristica fragrana,Myristica,Myristicaceae
808,ER072,"Pala, daging, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER072#AndraFarm,Tunggal,ER072,-,Buah,"Nutmeg, meat, fresh",0.5,88.1,1.5,,42.0,24.0,,32.0,10.9,29.0,0.2,,,0.3,,,,0.5,,,22.0,Myristica fragrans Houtt.,Myristica,Myristicaceae
